Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Abstract,Document Type,Publication Stage,Open Access,Source,EID
"Dagnino F.","57190810538;","A Meta-theory for Big-step Semantics",2022,"ACM Transactions on Computational Logic","23","3","20","","",,,"10.1145/3522729","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135009157&doi=10.1145%2f3522729&partnerID=40&md5=c66dd8fcda6e8333980ac22378171491","It is well known that big-step semantics is not able to distinguish stuck and non-terminating computations. This is a strong limitation as it makes it very difficult to reason about properties involving infinite computations, such as type soundness, which cannot even be expressed.We show that this issue is only apparent: the distinction between stuck and diverging computations is implicit in any big-step semantics and it just needs to be uncovered. To achieve this goal, we develop a systematic study of big-step semantics: we introduce an abstract definition of what a big-step semantics is, we define a notion of computation by formalizing the evaluation algorithm implicitly associated with any big-step semantics, and we show how to canonically extend a big-step semantics to characterize stuck and diverging computations.Building on these notions, we describe a general proof technique to show that a predicate is sound, that is, it prevents stuck computation, with respect to a big-step semantics. One needs to check three properties relating the predicate and the semantics, and if they hold, the predicate is sound. The extended semantics is essential to establish this meta-logical result but is of no concerns to the user, who only needs to prove the three properties of the initial big-step semantics. Finally, we illustrate the technique by several examples, showing that it is applicable also in cases where subject reduction does not hold, and hence the standard technique for small-step semantics cannot be used. © 2022 Association for Computing Machinery.",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85135009157
"Racordon D., Shabalin D., Zheng D., Abrahams D., Saeta B.","57191479879;57204685287;57222420312;57222421889;57219748718;","Implementation Strategies for Mutable Value Semantics",2022,"Journal of Object Technology","21","2",,"","",,,"10.5381/jot.2022.21.2.a2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85129681696&doi=10.5381%2fjot.2022.21.2.a2&partnerID=40&md5=e9cc1e40c122434b9e8db358249b94d9","Mutable value semantics is a programming discipline that upholds the independence of values to support local reasoning. In the discipline’s strictest form, references become second-class citizens: they are only created implicitly, at function boundaries, and cannot be stored in variables or object fields. Hence, variables can never share mutable state. Unlike pure functional programming, however, mutable value semantics allows part-wise in-place mutation, thereby eliminating the memory traffic usually associated with functional updates of immutable data. This paper presents implementation strategies for compiling programs with mutable value semantics into efficient native code. We study Swift, a programming language based on that discipline, through the lens of a core language that strips some of Swift’s features to focus on the semantics of its value types. The strategies that we introduce leverage the inherent properties of mutable value semantics to unlock aggressive optimizations. Fixed-size values are allocated on the stack, thereby enabling numerous off-the-shelf compiler optimizations, while dynamically sized containers use copy-on-write to mitigate copying costs. © 2022",Article,"Final","All Open Access, Bronze",Scopus,2-s2.0-85129681696
"Veltri N., Voorneveld N.F.W.","57222564340;57196727884;","Inductive and Coinductive Predicate Liftings for Effectful Programs",2021,"Electronic Proceedings in Theoretical Computer Science, EPTCS","351",,,"260","277",,,"10.4204/EPTCS.351.16","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122280172&doi=10.4204%2fEPTCS.351.16&partnerID=40&md5=612bf4bbf5930267b8626873b724ffab","We formulate a framework for describing behaviour of effectful higher-order recursive programs. Examples of effects are implemented using effect operations, and include: execution cost, nondeterminism, global store and interaction with a user. The denotational semantics of a program is given by a coinductive tree in a monad, which combines potential return values of the program in terms of effect operations. Using a simple test logic, we construct two sorts of predicate liftings, which lift predicates on a result type to predicates on computations that produce results of that type, each capturing a facet of program behaviour. Firstly, we study inductive predicate liftings which can be used to describe effectful notions of total correctness. Secondly, we study coinductive predicate liftings, which describe effectful notions of partial correctness. The two constructions are dual in the sense that one can be used to disprove the other. The predicate liftings are used as a basis for an endogenous logic of behavioural properties for higher-order programs. The program logic has a derivable notion of negation, arising from the duality of the two sorts of predicate liftings, and it generates a program equivalence which subsumes a notion of bisimilarity. Appropriate definitions of inductive and coinductive predicate liftings are given for a multitude of effect examples. The whole development has been fully formalized in the Agda proof assistant. © N. Veltri & N.F.W. Voorneveld",Conference Paper,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85122280172
"Paraskevopoulou Z., Li J.M., Appel A.W.","56912389700;57228262400;7101635673;","Compositional optimizations for CertiCoq",2021,"Proceedings of the ACM on Programming Languages","5","ICFP","3473591","","",,2,"10.1145/3473591","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85113344592&doi=10.1145%2f3473591&partnerID=40&md5=12054a0ad870717e7c589fd6c53bb50b","Compositional compiler verification is a difficult problem that focuses on separate compilation of program components with possibly different verified compilers. Logical relations are widely used in proving correctness of program transformations in higher-order languages; however, they do not scale to compositional verification of multi-pass compilers due to their lack of transitivity. The only known technique to apply to compositional verification of multi-pass compilers for higher-order languages is parametric inter-language simulations (PILS), which is however significantly more complicated than traditional proof techniques for compiler correctness. In this paper, we present a novel verification framework for lightweight compositional compiler correctness. We demonstrate that by imposing the additional restriction that program components are compiled by pipelines that go through the same sequence of intermediate representations, logical relation proofs can be transitively composed in order to derive an end-to-end compositional specification for multi-pass compiler pipelines. Unlike traditional logical-relation frameworks, our framework supports divergence preservation - even when transformations reduce the number of program steps. We achieve this by parameterizing our logical relations with a pair of relational invariants. We apply this technique to verify a multi-pass, optimizing middle-end pipeline for CertiCoq, a compiler from Gallina (Coq's specification language) to C. The pipeline optimizes and closure-converts an untyped functional intermediate language (ANF or CPS) to a subset of that language without nested functions, which can be easily code-generated to low-level languages. Notably, our pipeline performs more complex closure-allocation optimizations than the state of the art in verified compilation. Using our novel verification framework, we prove an end-to-end theorem for our pipeline that covers both termination and divergence and applies to whole-program and separate compilation, even when different modules are compiled with different optimizations. Our results are mechanized in the Coq proof assistant. © 2021 Owner/Author.",Conference Paper,"Final","All Open Access, Bronze",Scopus,2-s2.0-85113344592
"Zakowski Y., Beck C., Yoon I., Zaichuk I., Zaliva V., Zdancewic S.","57195671199;57227894800;57220766056;57220899850;6508110433;57293474600;","Modular, compositional, and executable formal semantics for LLVM IR",2021,"Proceedings of the ACM on Programming Languages","5","ICFP","3473572","","",,,"10.1145/3473572","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85113286107&doi=10.1145%2f3473572&partnerID=40&md5=8166b2aa6c7f5f031be2033110bfe6e2","This paper presents a novel formal semantics, mechanized in Coq, for a large, sequential subset of the LLVM IR. In contrast to previous approaches, which use relationally-specified operational semantics, this new semantics is based on monadic interpretation of interaction trees, a structure that provides a more compositional approach to defining language semantics while retaining the ability to extract an executable interpreter. Our semantics handles many of the LLVM IR's non-trivial language features and is constructed modularly in terms of event handlers, including those that deal with nondeterminism in the specification. We show how this semantics admits compositional reasoning principles derived from the interaction trees equational theory of weak bisimulation, which we extend here to better deal with nondeterminism, and we use them to prove that the extracted reference interpreter faithfully refines the semantic model. We validate the correctness of the semantics by evaluating it on unit tests and LLVM IR programs generated by HELIX. © 2021 Owner/Author.",Conference Paper,"Final","All Open Access, Bronze, Green",Scopus,2-s2.0-85113286107
"Ciccone L., Dagnino F., Zucca E.","57210598548;57190810538;7005642627;","Flexible coinduction in Agda",2021,"Leibniz International Proceedings in Informatics, LIPIcs","193",,"13","","",,3,"10.4230/LIPIcs.ITP.2021.13","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85113866702&doi=10.4230%2fLIPIcs.ITP.2021.13&partnerID=40&md5=7eb975befc2726fc7fbb948669078f52","We provide an Agda library for inference systems, also supporting their recent generalization allowing flexible coinduction, that is, interpretations which are neither inductive, nor purely coinductive. A specific inference system can be obtained as an instance by writing a set of meta-rules, in an Agda format which closely resembles the usual one. In this way, the user gets for free the related properties, notably the inductive and coinductive intepretation and the corresponding proof principles. Moreover, a significant modularity is achieved. Indeed, rather than being defined from scratch and with a built-in interpretation, an inference system can also be obtained by composition operators, such as union and restriction to a smaller universe, and its semantics can be modularly chosen as well. In particular, flexible coinduction is obtained by composing in a certain way the interpretations of two inference systems. We illustrate the use of the library by several examples. The most significant one is a big-step semantics for the λ-calculus, where flexible coinduction allows to obtain a special result (∞) for all and only the diverging computations, and the proof of equivalence with small-step semantics is carried out by relying on the proof principles offered by the library. © Luca Ciccone, Francesco Dagnino, and Elena Zucca.",Conference Paper,"Final","",Scopus,2-s2.0-85113866702
"Ancona D., Franceschini L., Ferrando A., Mascardi V.","7003625858;57195225535;55669011800;6506722954;","RML: Theory and practice of a domain specific language for runtime verification",2021,"Science of Computer Programming","205",,"102610","","",,4,"10.1016/j.scico.2021.102610","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099367482&doi=10.1016%2fj.scico.2021.102610&partnerID=40&md5=54e3a98056f8fde84958252723c5b6de","Runtime verification (RV) is an approach to verification consisting in dynamically checking that the event traces generated by single runs of a system under scrutiny (SUS) are compliant with the formal specification of its expected correct behavior. RML (Runtime Monitoring Language) is a simple but powerful Domain Specific Language (DSL) for RV which is able to express non context-free properties. When designing RML, particular care has been taken to favor abstraction and simplicity, to better support reusability and portability of specifications and interoperability of the monitors generated from them; this is mainly achieved by decoupling the two problems of property specification and event generation, and by minimizing the available primitive constructs. The formalization and implementation of RML is based on a trace calculus with a fully deterministic rewriting semantics. The semantics of RML is defined by translation into such a calculus, which, in fact, is used as intermediate representation (IR) by the RML compiler. The effectiveness of RML and its methodological impact on RV are presented through interesting patterns that can be adapted to different contexts requiring verification of standard properties. A collection of tested examples is provided, together with benchmarks showing that the deterministic semantics and the performed dynamic optimizations based on the laws of the trace calculus significantly improve the performances of the generated monitors. © 2021 Elsevier B.V.",Article,"Final","",Scopus,2-s2.0-85099367482
"Dagnino F.","57190810538;","Foundations of regular coinduction",2021,"Logical Methods in Computer Science","17","4",,"2:1","2:29",,2,"10.46298/LMCS-17(4:2)2021","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85116970367&doi=10.46298%2fLMCS-17%284%3a2%292021&partnerID=40&md5=9470b21b404fb3879f8094a95e938c08","Inference systems are a widespread framework used to define possibly recursive predicates by means of inference rules. They allow both inductive and coinductive interpre-tations that are fairly well-studied. In this paper, we consider a middle way interpretation, called regular, which combines advantages of both approaches: it allows non-well-founded reasoning while being finite. We show that the natural proof-theoretic definition of the regular interpretation, based on regular trees, coincides with a rational fixed point. Then, we provide an equivalent inductive characterization, which leads to an algorithm which looks for a regular derivation of a judgment. Relying on these results, we define proof techniques for regular reasoning: the regular coinduction principle, to prove completeness, and an inductive technique to prove soundness, based on the inductive characterization of the regular interpretation. Finally, we show the regular approach can be smoothly extended to inference systems with corules, a recently introduced, generalised framework, which allows one to refine the coinductive interpretation, proving that also this flexible regular interpretation admits an equivalent inductive characterisation. © F. Dagnino.",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85116970367
"Cohen L.","56347969100;","Non-well-founded Deduction for Induction and Coinduction",2021,"Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","12699 LNAI",,,"3","24",,,"10.1007/978-3-030-79876-5_1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85112308335&doi=10.1007%2f978-3-030-79876-5_1&partnerID=40&md5=7ebfcf39fd8ed4b3ea20560d06b05dad","Induction and coinduction are both used extensively within mathematics and computer science. Algebraic formulations of these principles make the duality between them apparent, but do not account well for the way they are commonly used in deduction. Generally, the formalization of these reasoning methods employs inference rules that express a general explicit (co)induction scheme. Non-well-founded proof theory provides an alternative, more robust approach for formalizing implicit (co)inductive reasoning. This approach has been extremely successful in recent years in supporting implicit inductive reasoning, but is not as well-developed in the context of coinductive reasoning. This paper reviews the general method of non-well-founded proofs, and puts forward a concrete natural framework for (co)inductive reasoning, based on (co)closure operators, that offers a concise framework in which inductive and coinductive reasoning are captured as we intuitively understand and use them. Through this framework we demonstrate the enormous potential of non-well-founded deduction, both in the foundational theoretical exploration of (co)inductive reasoning and in the provision of proof support for (co)inductive reasoning within (semi-)automated proof tools. © 2021, The Author(s).",Conference Paper,"Final","All Open Access, Hybrid Gold",Scopus,2-s2.0-85112308335
"Racordon D., Buchs D.","57191479879;57205893866;","Featherweight Swift: A Core Calculus for Swift's Type System",2020,"SLE 2020 - Proceedings of the 13th ACM SIGPLAN International Conference on Software Language Engineering, Co-located with SPLASH 2020",,,,"140","154",,2,"10.1145/3426425.3426939","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097722244&doi=10.1145%2f3426425.3426939&partnerID=40&md5=7a1e2166a9ac787e2bcc04b5db1df205","Swift is a modern general-purpose programming language, designed to be a replacement for C-based languages. Although primarily directed at development of applications for Apple's operating systems, Swift's adoption has been growing steadily in other domains, ranging from server-side services to machine learning. This success can be partly attributed to a rich type system that enables the design of safe, fast, and expressive programming interfaces. Unfortunately, this richness comes at the cost of complexity, setting a high entry barrier to exploit Swift's full potential. Furthermore, existing documentation typically only relies on examples, leaving new users with little help to build a deeper understanding of the underlying rules and mechanisms. This paper aims to tackle this issue by laying out the foundations for a formal framework to reason about Swift's type system. We introduce Featherweight Swift, a minimal language stripped of all features not essential to describe its typing rules. Featherweight Swift features classes and protocol inheritance, supports retroactive modeling, and emulates Swift's overriding mechanisms. Yet its formalization fits on a few pages. We present Featherweight Swift's syntax and semantics. We then elaborate on the usability of our framework to reason about Swift's features, future extensions, and implementation by discussing a bug in Swift's compiler, discovered throughout the design of our calculus. © 2020 ACM.",Conference Paper,"Final","All Open Access, Green",Scopus,2-s2.0-85097722244
