Publication Type,Authors,Book Authors,Group Authors,Book Group Authors,Researcher Ids,ORCIDs,Book Editors,Author - Arabic,Article Title,Article Title - SciELO,Article Title - SciELO,Article Title - Chinese,Article Title - Russian,Patent Number,Patent Assignee,Source Title - Arabic,Source Title,Source Title - Korean,Book Series Title,Book Series Subtitle,Volume,Issue,Special Issue,Meeting Abstract,Start Page,End Page,Article Number,DOI,Book DOI,Early Access Date,Supplement,Publication Date,Publication Year,Abstract,Abstract - Foreign,Abstract - English Transliteration ,Abstract - Foreign,Abstract - Korean,Conference Title,Conference Date,Conference Sponsor,Conference Location,"Times Cited, WoS Core","Times Cited, CSCD ","Times Cited, RSCI","Times Cited, ARCI","Times Cited, BCI","Times Cited, SCIELO","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,ISSN,eISSN,ISBN,UT (Unique ID),Pubmed Id
J,"Dagnino, Francesco",,,,,,,,A Meta-theory for Big-step Semantics,,,,,,,,ACM TRANSACTIONS ON COMPUTATIONAL LOGIC,,,,23,3,,,,,20,10.1145/3522729,,,,JUL 2022,2022,"It is well known that big-step semantics is not able to distinguish stuck and non-terminating computations. This is a strong limitation as it makes it very difficult to reason about properties involving infinite computations, such as type soundness, which cannot even be expressed.We show that this issue is only apparent: the distinction between stuck and diverging computations is implicit in any big-step semantics and it just needs to be uncovered. To achieve this goal, we develop a systematic study of big-step semantics: we introduce an abstract definition of what a big-step semantics is, we define a notion of computation by formalizing the evaluation algorithm implicitly associated with any big-step semantics, and we show how to canonically extend a big-step semantics to characterize stuck and diverging computations.Building on these notions, we describe a general proof technique to show that a predicate is sound, that is, it prevents stuck computation, with respect to a big-step semantics. One needs to check three properties relating the predicate and the semantics, and if they hold, the predicate is sound. The extended semantics is essential to establish this meta-logical result but is of no concerns to the user, who only needs to prove the three properties of the initial big-step semantics. Finally, we illustrate the technique by several examples, showing that it is applicable also in cases where subject reduction does not hold, and hence the standard technique for small-step semantics cannot be used.",,,,,,,,,0,0,0,0,0,0,0,,,1529-3785,1557-945X,,WOS:000831583400007,
J,"Racordon, Dimitri; Shabalin, Denys; Zheng, Daniel; Abrahams, Dave; Saeta, Brennan",,,,,,,,Implementation Strategies for Mutable Value Semantics,,,,,,,,JOURNAL OF OBJECT TECHNOLOGY,,,,21,2,,,,,,10.5381/jot.2022.21.2.a2,,,,2022,2022,"Mutable value semantics is a programming discipline that upholds the independence of values to support local reasoning. In the discipline's strictest form, references become second-class citizens: they are only created implicitly, at function boundaries, and cannot be stored in variables or object fields. Hence, variables can never share mutable state. Unlike pure functional programming, however, mutable value semantics allows part-wise in-place mutation, thereby eliminating the memory traffic usually associated with functional updates of immutable data.This paper presents implementation strategies for compiling programs with mutable value semantics into efficient native code. We study Swift, a programming language based on that discipline, through the lens of a core language that strips some of Swift's features to focus on the semantics of its value types. The strategies that we introduce leverage the inherent properties of mutable value semantics to unlock aggressive optimizations. Fixed-size values are allocated on the stack, thereby enabling numerous off-the-shelf compiler optimizations, while dynamically sized containers use copy-on-write to mitigate copying costs.",,,,,,,,,0,0,0,0,0,0,0,,,1660-1769,,,WOS:000790965800003,
J,"Zakowski, Yannick; Beck, Calvin; Yoon, Irene; Zaichuk, Ilia; Zaliva, Vadim; Zdancewic, Steve",,,,,"Zaliva, Vadim/0000-0002-9145-3288; Zakowski, Yannick/0000-0003-4585-6470; Yoon, Irene/0000-0003-3388-1257; Zdancewic, Steve/0000-0002-3516-1512",,,"Modular, Compositional, and Executable Formal Semantics for LLVM IR",,,,,,,,PROCEEDINGS OF THE ACM ON PROGRAMMING LANGUAGES-PACMPL,,,,5,,,,,,67,10.1145/3473572,,,,AUG 2021,2021,"This paper presents a novel formal semantics, mechanized in Coq, for a large, sequential subset of the LLVM IR. In contrast to previous approaches, which use relationally-specified operational semantics, this new semantics is based on monadic interpretation of interaction trees, a structure that provides a more compositional approach to defining language semantics while retaining the ability to extract an executable interpreter. Our semantics handles many of the LLVM IR's non-trivial language features and is constructed modularly in terms of event handlers, including those that deal with nondeterminism in the specification. We show how this semantics admits compositional reasoning principles derived from the interaction trees equational theory of weak bisimulation, which we extend here to better deal with nondeterminism, and we use them to prove that the extracted reference interpreter faithfully refines the semantic model. We validate the correctness of the semantics by evaluating it on unit tests and LLVM IR programs generated by HELIX.",,,,,,,,,0,0,0,0,0,0,0,,,,2475-1421,,WOS:000687133800007,
J,"Paraskevopoulou, Zoe; Li, John M.; Appel, Andrew W.",,,,,,,,Compositional Optimizations for CertiCoq,,,,,,,,PROCEEDINGS OF THE ACM ON PROGRAMMING LANGUAGES-PACMPL,,,,5,,,,,,86,10.1145/3473591,,,,AUG 2021,2021,"Compositional compiler verification is a difficult problem that focuses on separate compilation of program components with possibly different verified compilers. Logical relations are widely used in proving correctness of program transformations in higher-order languages; however, they do not scale to compositional verification of multi-pass compilers due to their lack of transitivity. The only known technique to apply to compositional verification of multi-pass compilers for higher-order languages is parametric inter-language simulations (PILS), which is however significantly more complicated than traditional proof techniques for compiler correctness. In this paper, we present a novel verification framework for lightweight compositional compiler correctness. We demonstrate that by imposing the additional restriction that program components are compiled by pipelines that go through the same sequence of intermediate representations, logical relation proofs can be transitively composed in order to derive an end-to-end compositional specification for multi-pass compiler pipelines. Unlike traditional logical-relation frameworks, our framework supports divergence preservationDeven when transformations reduce the number of program steps. We achieve this by parameterizing our logical relations with a pair of relational invariants.We apply this technique to verify a multi-pass, optimizing middle-end pipeline for CertiCoq, a compiler from Gallina (Coq's specification language) to C. The pipeline optimizes and closure-converts an untyped functional intermediate language (ANF or CPS) to a subset of that language without nested functions, which can be easily code-generated to low-level languages. Notably, our pipeline performs more complex closure-allocation optimizations than the state of the art in verified compilation. Using our novel verification framework, we prove an end-to-end theorem for our pipeline that covers both termination and divergence and applies to whole-program and separate compilation, even when different modules are compiled with different optimizations. Our results are mechanized in the Coq proof assistant.",,,,,,,,,1,0,0,0,0,0,1,,,,2475-1421,,WOS:000687133800026,
J,"Ancona, Davide; Franceschini, Luca; Ferrando, Angelo; Mascardi, Viviana",,,,"Ferrando, Angelo/ABC-9750-2020","Ferrando, Angelo/0000-0002-8711-4670",,,RML: Theory and practice of a domain specific language for runtime verification,,,,,,,,SCIENCE OF COMPUTER PROGRAMMING,,,,205,,,,,,102610,10.1016/j.scico.2021.102610,,JAN 2021,,MAY 1 2021,2021,"Runtime verification (RV) is an approach to verification consisting in dynamically checking that the event traces generated by single runs of a system under scrutiny (SUS) are compliant with the formal specification of its expected correct behavior.RML (Runtime Monitoring Language) is a simple but powerful Domain Specific Language (DSL) for RV which is able to express non context-free properties. When designing RML, particular care has been taken to favor abstraction and simplicity, to better support reusability and portability of specifications and interoperability of the monitors generated from them; this is mainly achieved by decoupling the two problems of property specification and event generation, and by minimizing the available primitive constructs.The formalization and implementation of RML is based on a trace calculus with a fully deterministic rewriting semantics. The semantics of RML is defined by translation into such a calculus, which, in fact, is used as intermediate representation (IR) by the RML compiler. The effectiveness of RML and its methodological impact on RV are presented through interesting patterns that can be adapted to different contexts requiring verification of standard properties. A collection of tested examples is provided, together with benchmarks showing that the deterministic semantics and the performed dynamic optimizations based on the laws of the trace calculus significantly improve the performances of the generated monitors. (C) 2021 Elsevier B.V. All rights reserved.",,,,,,,,,0,0,0,0,0,0,0,,,0167-6423,1872-7964,,WOS:000632572100004,
C,"Cohen, Liron",,,,,"Cohen, Liron/0000-0002-6608-3000","Platzer, A; Sutcliffe, G",,Non-well-founded Deduction for Induction and Coinduction,,,,,,,,"AUTOMATED DEDUCTION, CADE 28",,Lecture Notes in Artificial Intelligence,,12699,,,,3,24,,10.1007/978-3-030-79876-5_1,,,,2021,2021,"Induction and coinduction are both used extensively within mathematics and computer science. Algebraic formulations of these principles make the duality between them apparent, but do not account well for the way they are commonly used in deduction. Generally, the formalization of these reasoning methods employs inference rules that express a general explicit (co)induction scheme. Non-well-founded proof theory provides an alternative, more robust approach for formalizing implicit (co)inductive reasoning. This approach has been extremely successful in recent years in supporting implicit inductive reasoning, but is not as well-developed in the context of coinductive reasoning. This paper reviews the general method of non-well-founded proofs, and puts forward a concrete natural framework for (co)inductive reasoning, based on (co)closure operators, that offers a concise framework in which inductive and coinductive reasoning are captured as we intuitively understand and use them. Through this framework we demonstrate the enormous potential of non-well-founded deduction, both in the foundational theoretical exploration of (co)inductive reasoning and in the provision of proof support for (co)inductive reasoning within (semi-)automated proof tools.",,,,,28th International Conference on Automated Deduction (CADE)28th International Conference on Automated Deduction (CADE),"JUL 11-16, 2021JUL 11-16, 2021",,"Carnegie Mellon Univ, ELECTR NETWORKCarnegie Mellon Univ, ELECTR NETWORK",0,0,0,0,0,0,0,,,0302-9743,1611-3349,978-3-030-79876-5; 978-3-030-79875-8,WOS:000693448800001,
J,"Dagnino, Francesco",,,,,,,,FOUNDATIONS OF REGULAR COINDUCTION,,,,,,,,LOGICAL METHODS IN COMPUTER SCIENCE,,,,17,3,,,,,2,10.46298/LMCS-17(4:2)2021,,,,2021,2021,"Inference systems are a widespread framework used to define possibly recursive predicates by means of inference rules. They allow both inductive and coinductive interpretations that are fairly well-studied. In this paper, we consider a middle way interpretation, called regular, which combines advantages of both approaches: it allows non-well-founded reasoning while being finite. We show that the natural proof-theoretic definition of the regular interpretation, based on regular trees, coincides with a rational fixed point. Then, we provide an equivalent inductive characterization, which leads to an algorithm which looks for a regular derivation of a judgment. Relying on these results, we define proof techniques for regular reasoning: the regular coinduction principle, to prove completeness, and an inductive technique to prove soundness, based on the inductive characterization of the regular interpretation. Finally, we show the regular approach can be smoothly extended to inference systems with corules, a recently introduced, generalised framework, which allows one to refine the coinductive interpretation, proving that also this flexible regular interpretation admits an equivalent inductive characterisation.",,,,,,,,,1,0,0,0,0,0,1,,,1860-5974,,,WOS:000704827500002,
J,"DAGNINO, F. R. A. N. C. E. S. C. O.; ANCONA, D. A. V. I. D. E.; ZUCCA, E. L. E. N. A.",,,,"Ancona, Davide/U-6156-2018","Ancona, Davide/0000-0002-6297-2011",,,Flexible coinductive logic programming,,,,,,,,THEORY AND PRACTICE OF LOGIC PROGRAMMING,,,,20,6,SI,,818,833,PII S147106842000023X,10.1017/S147106842000023X,,,,NOV 2020,2020,"Recursive definitions of predicates are usually interpreted either inductively or coinductively. Recently, a more powerful approach has been proposed, calledflexible coinduction, to express a variety of intermediate interpretations, necessary in some cases to get the correct meaning. We provide a detailed formal account of an extension of logic programming supporting flexible coinduction. Syntactically, programs are enriched bycoclauses, clauses with a special meaning used to tune the interpretation of predicates. As usual, the declarative semantics can be expressed as a fixed point which, however, is not necessarily the least, nor the greatest one, but is determined by the coclauses. Correspondingly, the operational semantics is a combination of standard SLD resolution and coSLD resolution. We prove that the operational semantics is sound and complete with respect to declarative semantics restricted to finite comodels.",,,,,36th International Conference on Logic Programming (ICLP)36th International Conference on Logic Programming (ICLP),"SEP 20-25, 2020SEP 20-25, 2020",,ELECTR NETWORKELECTR NETWORK,2,0,0,0,0,0,2,,,1471-0684,1475-3081,,WOS:000571456800002,
J,"Ancona, Davide; Dagnino, Francesco; Rot, Jurriaan; Zucca, Elena",,,,"Ancona, Davide/U-6156-2018","Ancona, Davide/0000-0002-6297-2011; Dagnino, Francesco/0000-0003-3599-3535; ZUCCA, ELENA/0000-0002-6833-6470",,,A big step from finite to infinite computations,,,,,,,,SCIENCE OF COMPUTER PROGRAMMING,,,,197,,,,,,102492,10.1016/j.scico.2020.102492,,,,OCT 1 2020,2020,"We provide a construction that, given a big-step semantics describing finite computations and their observations, extends it to include infinite computations as well. The basic idea is that the finite behavior uniquely determines the infinite behavior once observations and their composition operators are fixed. Technically, the construction relies on the framework of inference systems with corules. The effectiveness and scope of the approach are illustrated by several examples. The correctness is formally justified by proving that, starting from a big-step semantics equivalent to a reference small-step semantics, this equivalence is preserved by the construction. (C) 2020 Elsevier B.V. All rights reserved.",,,,,European Conference on Object-Oriented Programming (ECOOP)European Conference on Object-Oriented Programming (ECOOP),"NOV 15-17, 2020NOV 15-17, 2020",,ELECTR NETWORKELECTR NETWORK,2,0,0,0,0,0,2,,,0167-6423,1872-7964,,WOS:000572347300009,
J,"Zuniga, Angel; Bel-Enguix, Gemma",,,,"Zúñiga, Angel/AAW-5331-2021; Bel-Enguix, Gemma/D-2685-2018","Zúñiga, Angel/0000-0002-6133-3883; Bel-Enguix, Gemma/0000-0002-1411-5736",,,Coinductive Natural Semantics for Compiler Verification in Coq,,,,,,,,MATHEMATICS,,,,8,9,,,,,1573,10.3390/math8091573,,,,SEP 2020,2020,"(Coinductive) natural semantics is presented as a unifying framework for the verification of total correctness of compilers in Coq (with the feature that a verified compiler can be obtained). In this way, we have a simple, easy, and intuitive framework; to carry out the verification of a compiler, using a proof assistant in which both cases are considered: terminating and non-terminating computations (total correctness).",,,,,,,,,0,0,0,0,0,0,0,,,,2227-7390,,WOS:000580212700001,
